weeklyDCMImport

Date/Time Generated,1/26/16 12:46 PM
Report Time Zone,America/New_York
SubAccount Name,Rinck Advertising
Account ID,9515
Date Range,1/12/16 - 1/18/16

Report Fields
Date,Campaign,Ad,Site (DCM),Placement,Ad Type,Creative,Click-through URL,Clicks,Impressions,Click Rate,Active View: Viewable Impressions,Active View: Measurable Impressions,Active View: Eligible Impressions,Media Cost
2016-01-13,BSB Branding Campaign,320x50 Default Web Ad,centralmaine.com,CentralMaine 320X50,Default,BSB_FreeATM_Mainers_StaticAd_320x50,http://www.bangor.com/Personal-Banking/Checking-Accounts/Free-ATMs-Worldwide.aspx,0,1348,0.00,299,1153,1347,0.000000000
2016-01-13,BSB Branding Campaign,320x50 Default Web Ad,mainetoday.com,MaineToday 320X50,Default,BSB_FreeATM_Mainers_StaticAd_320x50,http://www.bangor.com/Personal-Banking/Checking-Accounts/Free-ATMs-Worldwide.aspx,0,344,0.00,87,342,344,0.000000000
2016-01-13,BSB Branding Campaign,728x90 Default Web Ad,Bangor Daily News,BangorDailyNews 728X90,Default,FreeATM_Mainers_728x90_static,http://www.bangor.com/Personal-Banking/Checking-Accounts/Free-ATMs-Worldwide.aspx,0,1921,0.00,0,0,0,0.000000000
2016-01-13,BSB Branding Campaign,728x90 Default Web Ad,Mainetoday.com - Portland Press Herald,Press Herald 728X90,Default,FreeATM_Mainers_728x90_static,http://www.bangor.com/Personal-Banking/Checking-Accounts/Free-ATMs-Worldwide.aspx,0,3,0.00,0,0,0,0.000000000
2016-01-13,BSB Branding Campaign,728x90 Default Web Ad,Simpli.fi,Audience Extension 728X90,Default,FreeATM_Mainers_728x90_static,http://www.bangor.com/Personal-Banking/Checking-Accounts/Free-ATMs-Worldwide.aspx,0,3,0.00,0,0,0,0.000000000
2016-01-13,BSB Branding Campaign,728x90 Default Web Ad,centralmaine.com,CentralMaine 728X90,Default,FreeATM_Mainers_728x90_static,http://www.bangor.com/Personal-Banking/Checking-Accounts/Free-ATMs-Worldwide.aspx,0,1,0.00,0,0,0,0.000000000
2016-01-13,BSB Branding Campaign,728x90 Default Web Ad,mainetoday.com,MaineToday 728X90,Default,FreeATM_Mainers_728x90_static,http://www.bangor.com/Personal-Banking/Checking-Accounts/Free-ATMs-Worldwide.aspx,0,1,0.00,0,0,0,0.000000000
2016-01-13,BSB Branding Campaign,728x90_publish-Audience Extension 728X90,Simpli.fi,Audience Extension 728X90,Standard,728x90_publish,http://www.bangor.com/Personal-Banking/Checking-Accounts/Free-ATMs-Worldwide.aspx,0,341,0.00,82,300,340,0.000000000
2016-01-13,BSB Branding Campaign,728x90_publish-CentralMaine 728X90,centralmaine.com,CentralMaine 728X90,Standard,728x90_publish,http://www.bangor.com/Personal-Banking/Checking-Accounts/Free-ATMs-Worldwide.aspx,0,572,0.00,229,518,568,0.000000000
2016-01-13,BSB Branding Campaign,728x90_publish-MaineToday 728X90,mainetoday.com,MaineToday 728X90,Standard,728x90_publish,http://www.bangor.com/Personal-Banking/Checking-Accounts/Free-ATMs-Worldwide.aspx,0,787,0.00,351,728,784,0.000000000
2016-01-13,BSB Branding Campaign,728x90_publish-Press Herald 728X90,Mainetoday.com - Portland Press Herald,Press Herald 728X90,Standard,728x90_publish,http://www.bangor.com/Personal-Banking/Checking-Accounts/Free-ATMs-Worldwide.aspx,1,699,0.14,331,649,694,0.000000000
2016-01-13,BSB Mortgage,mortgage_160x600-Sitescout 160X600,sitescout.com,Sitescout 160X600,Standard,mortgage_160x600,http://www.bangormortgage.com/Default.aspx,0,0,0.00,5,0,0,0.000000000
2016-01-13,BSB Mortgage,mortgage_300x250-Sitescout 300X250,sitescout.com,Sitescout 300X250,Standard,mortgage_300x250,http://www.bangormortgage.com/Default.aspx,0,0,0.00,2,0,0,0.000000000
2016-01-13,BSB Mortgage,mortgage_728x90-Sitescout 728X90,sitescout.com,Sitescout 728X90,Standard,mortgage_728x90,http://www.bangormortgage.com/Default.aspx,0,0,0.00,2,0,0,0.000000000
2016-01-13,BSB Mortgage,mortgage_728x90-Sitescout 728X90,sitescout.com,Sitescout 728X90,Standard,mortgage_728x90,http://www.bangormortgage.com/Default.aspx,0,0,0.00,1,0,0,0.000000000
2016-01-13,Coastal Plastic Retargeting,300x250_smile-2-Sitescout_Retargeting 300X250,sitescout.com,Sitescout_Retargeting 300X250,Standard,300x250_smile-2,http://www.coastalplasticsurgerymaine.org/,0,1,0.00,1,1,1,0.000000000
2016-01-13,Coastal Plastic Retargeting,300x250_smile-Sitescout_Retargeting 300X250,sitescout.com,Sitescout_Retargeting 300X250,Standard,300x250_smile,http://www.coastalplasticsurgerymaine.org/,0,0,0.00,1,0,0,0.000000000
2016-01-13,Coastal Plastic Retargeting,728x90_smile-Sitescout_Retargeting 728x90,sitescout.com,Sitescout_Retargeting 728x90,Standard,728x90_smile,http://www.coastalplasticsurgerymaine.org/,0,0,0.00,2,0,0,0.000000000
2016-01-13,Coastal Plastics 9.15,300x250 Default Web Ad,mainetoday.com,AudienceExtension 300X250,Default,300x250_smile,http://www.coastalplasticsurgerymaine.org/,1,1192,0.08,180,741,1159,0.000000000
2016-01-13,Coastal Plastics 9.15,300x50 Default Web Ad,mainetoday.com,AudienceExtension 300X50,Default,300x50,http://www.coastalplasticsurgerymaine.org/,0,63,0.00,0,8,62,0.000000000
2016-01-13,Coastal Plastics 9.15,728x90 Default Web Ad,mainetoday.com,AudienceExtension 728X90,Default,728X90 Default,http://www.coastalplasticsurgerymaine.org/,0,4,0.00,0,0,0,0.000000000
2016-01-13,Coastal Plastics 9.15,728x90-2-AudienceExtension 728X90,mainetoday.com,AudienceExtension 728X90,Standard,728x90-2,http://www.coastalplasticsurgerymaine.org/,2,883,0.23,170,749,873,0.000000000
2016-01-13,Coastal Plastics 9.15,Smile 160X600-AudienceExtension  160X600,mainetoday.com,AudienceExtension  160X600,Standard,Smile 160X600,http://www.coastalplasticsurgerymaine.org/,0,228,0.00,37,147,226,0.000000000
2016-01-13,College Transitions,300X250-Site Scout 300X250 Audience,sitescout.com,Site Scout 300X250 Audience,Standard,300X250,http://www.mainecollegetransitions.org/,0,0,0.00,2,0,0,0.000000000
2016-01-13,College Transitions,728X90-Site Scout 728X90 Audience,sitescout.com,Site Scout 728X90 Audience,Standard,728X90,http://www.mainecollegetransitions.org/,0,1,0.00,2,0,0,0.000000000
2016-01-13,College Transitions,MCTanimation.html-Site Scout 160X600 Audience,sitescout.com,Site Scout 160X600 Audience,Standard,MCTanimation.html,http://www.mainecollegetransitions.org/,0,0,0.00,1,0,0,0.000000000
